"Id","price","host_is_superhost","host_total_listings_count","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","security_deposit","cleaning_fee","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","cancellation_policy","reviews_per_month"
570,110,"f",1,"t",-33.7446836,151.2878881,"Apartment","Entire home/apt",4,1,2,2,,,0,2,10,1,80,8,6,10,10,8,8,"f","f","flexible",0.04
571,99,"t",1,"f",-33.79311716,151.2867946,"Apartment","Private room",2,1,1,1,0,50,0,2,1125,10,98,10,10,10,10,10,10,"f","f","flexible",0.8
572,70,"f",1,"f",-33.7180329,151.2989307,"Apartment","Entire home/apt",4,1,1,2,500,,0,7,7,1,100,10,10,10,10,10,10,"f","f","strict",0.09
573,157,"f",1,"t",-33.80258095,151.2876912,"Apartment","Entire home/apt",3,1,2,1,,60,0,1,3,3,90,9,8,10,9,8,9,"f","f","strict",0.13
574,120,"f",1,"f",-33.75713633,151.2913374,"Apartment","Entire home/apt",4,1,2,2,,,0,3,1125,0,,,,,,,,"f","f","moderate",
575,120,"f",1,"f",-33.67011528,151.2978986,"Apartment","Entire home/apt",4,1,2,2,150,,0,4,1125,7,97,10,10,10,10,10,10,"f","f","flexible",0.27
576,100,"f",1,"t",-33.80106683,151.2876625,"Apartment","Entire home/apt",4,1,2,2,,35,0,5,7,1,,,,,,,,"f","f","strict",0.05
577,300,"f",1,"t",-33.79921039,151.2921638,"Apartment","Private room",2,1,1,1,300,60,0,2,1125,9,98,10,10,10,10,10,10,"f","f","strict",0.26
578,160,"f",1,"t",-33.65095277,151.3118306,"House","Entire home/apt",5,2,3,5,1000,300,0,3,1125,0,,,,,,,,"f","f","moderate",
579,350,"f",1,"f",-33.79689739,151.2747949,"House","Entire home/apt",6,2,4,5,,,0,5,15,0,,,,,,,,"f","f","flexible",
580,131,"f",1,"f",-33.77306194,151.279717,"House","Entire home/apt",4,1,3,3,,,0,21,38,0,,,,,,,,"t","f","flexible",
581,200,"f",1,"f",-33.8038222,151.2888583,"Apartment","Entire home/apt",4,2,3,2,,55,0,7,1125,0,,,,,,,,"f","f","flexible",
582,216,"f",2,"t",-33.78012274,151.2778721,"Apartment","Entire home/apt",4,1,2,3,500,80,0,2,1125,1,80,10,10,10,10,6,8,"f","f","strict",1
583,100,"f",2,"f",-33.78075369,151.2871975,"House","Private room",2,1,1,1,200,25,0,1,40,1,100,10,10,10,10,10,10,"t","f","strict",0.46
584,100,"f",1,"f",-33.76131552,151.2842451,"Apartment","Entire home/apt",2,1,1,1,,100,0,5,1125,0,,,,,,,,"f","f","flexible",
585,280,"f",1,"t",-33.79366194,151.2714687,"House","Entire home/apt",4,1.5,3,3,0,100,50,3,33,12,93,9,9,9,10,9,9,"f","f","moderate",0.51
586,350,"f",1,"f",-33.72307837,151.2933499,"Townhouse","Entire home/apt",6,2,3,6,,,0,3,1125,2,80,9,5,8,9,9,7,"t","f","flexible",0.16
587,139,"f",5,"f",-33.78751752,151.2836678,"Apartment","Entire home/apt",2,1,1,2,,,0,3,1125,6,97,10,10,10,10,10,10,"f","f","strict",0.29
588,150,"f",1,"t",-33.74748479,151.2380296,"House","Entire home/apt",7,3,3,4,500,100,0,2,2,2,100,10,10,10,10,10,10,"t","f","strict",0.16
589,300,"f",198,"f",-33.77204869,151.2674868,"House","Entire home/apt",4,1,2,2,400,235,0,3,1125,1,100,10,10,6,10,10,10,"t","f","strict",1
590,139,"f",1,"t",-33.75459433,151.2876214,"Apartment","Entire home/apt",4,1,1,1,500,75,15,2,1125,17,95,10,10,10,10,10,10,"f","f","strict",0.55
591,180,"f",1,"f",-33.67549711,151.3133821,"Apartment","Entire home/apt",4,1,2,2,150,120,20,3,160,23,92,10,9,10,10,10,9,"t","t","strict",0.47
592,99,"f",1,"t",-33.78845074,151.2834396,"House","Entire home/apt",2,1,1,1,,15,0,1,14,1,,,,,,,,"t","f","flexible",0.06
593,335,"f",1,"f",-33.76940742,151.2758599,"House","Entire home/apt",7,2,4,5,,,25,6,1125,2,90,9,9,10,10,10,9,"f","f","strict",0.08
594,60,"t",1,"t",-33.75737987,151.2399587,"House","Private room",2,1,1,1,,,0,1,7,32,100,10,10,10,10,10,10,"t","f","moderate",3.01
595,39,"f",1,"f",-33.79594505,151.2598303,"Apartment","Private room",2,1,1,1,,,0,1,1125,0,,,,,,,,"t","f","flexible",
596,60,"f",3,"f",-33.79787103,151.2806019,"Apartment","Private room",2,1,1,1,250,35,0,2,1125,30,91,9,10,10,10,10,9,"f","f","moderate",1.91
597,120,"f",1,"t",-33.7969973,151.2874654,"Apartment","Entire home/apt",4,1,1,2,150,155,25,3,1125,5,80,9,7,8,10,10,9,"f","f","strict",0.78
598,250,"f",1,"f",-33.78538915,151.2883157,"Apartment","Entire home/apt",4,1,2,2,300,70,0,4,1125,1,100,10,10,10,10,10,10,"f","f","strict",0.08
599,203,"f",1,"f",-33.59951391,151.3240091,"Apartment","Entire home/apt",4,1,2,3,,,0,2,7,9,100,10,10,10,10,10,10,"t","f","moderate",0.74
600,60,"f",3,"t",-33.75587185,151.2893215,"Other","Private room",1,1,1,1,295,,30,5,60,2,71,7,7,7,9,7,7,"f","f","strict",0.04
601,49,"f",1,"f",-33.7839928,151.2648248,"House","Private room",2,1,1,1,,,6,5,1125,1,80,6,6,8,8,6,6,"t","f","flexible",0.23
602,250,"t",2,"t",-33.62314401,151.3349498,"House","Entire home/apt",4,1,2,2,500,90,394,2,30,0,,,,,,,,"f","f","moderate",
603,401,"t",4,"t",-33.6373567,151.2781112,"Vacation home","Entire home/apt",9,2,4,7,4000,160,0,3,1125,0,,,,,,,,"f","f","strict",
604,85,"f",1,"t",-33.80087641,151.286235,"Apartment","Private room",2,1,1,1,,50,100,7,1125,1,100,10,8,10,10,10,10,"t","f","strict",0.08
605,90,"f",1,"f",-33.7830489,151.2909164,"Apartment","Entire home/apt",2,1,1,2,130,,0,1,1125,0,,,,,,,,"f","f","flexible",
606,80,"f",1,"t",-33.76066133,151.2944328,"Apartment","Entire home/apt",2,1,1,1,0,50,0,1,31,23,93,9,10,10,10,10,10,"f","f","flexible",1.37
607,79,"f",3,"t",-33.66439408,151.3142567,"House","Private room",1,1.5,1,1,,,0,7,1125,1,100,10,10,10,10,10,10,"f","f","strict",0.29
608,49,"f",1,"t",-33.78987681,151.2782648,"Townhouse","Private room",2,1,1,1,,,20,2,23,5,76,8,6,8,8,8,8,"f","f","flexible",0.17
609,63,"f",2,"f",-33.7464782,151.2847656,"Apartment","Private room",1,1,1,1,130,0,0,1,14,1,100,10,10,10,10,10,10,"f","f","flexible",1
610,117,"f",5,"t",-33.7911529,151.2850481,"Apartment","Private room",2,1,1,1,127,50,0,3,21,7,83,7,9,10,10,9,8,"t","f","moderate",0.55
611,375,"f",1,"f",-33.80585705,151.286456,"Apartment","Entire home/apt",4,1,2,2,,75,0,7,28,0,,,,,,,,"f","f","moderate",
612,145,"f",1,"t",-33.62003257,151.3336802,"Other","Entire home/apt",2,1,1,1,300,60,0,2,1123,9,93,10,10,10,10,10,9,"f","f","moderate",0.77
613,41,"f",1,"f",-33.76845653,151.2935632,"Apartment","Private room",2,1,1,1,,,0,1,1125,0,,,,,,,,"f","f","flexible",
614,118,"t",1,"f",-33.63130697,151.3256207,"House","Entire home/apt",2,1.5,1,1,,,0,2,7,30,98,10,9,10,10,10,10,"f","f","strict",2.32
615,65,"t",2,"f",-33.72476711,151.2218078,"House","Private room",2,1,1,1,,35,55,2,1125,30,97,10,10,10,10,10,10,"t","f","moderate",1.53
616,134,"f",1,"t",-33.75604653,151.2989243,"Apartment","Private room",2,1,1,1,500,50,0,2,28,2,100,10,10,10,10,10,10,"f","f","strict",0.16
617,79,"f",4,"f",-33.75918376,151.2986082,"House","Private room",2,1,0,1,,,0,3,1125,0,,,,,,,,"t","f","moderate",
618,300,"f",1,"t",-33.79829248,151.2533466,"House","Entire home/apt",6,2,4,4,1000,75,0,1,1125,0,,,,,,,,"f","f","flexible",
619,127,"t",3,"t",-33.62860886,151.3212455,"Apartment","Entire home/apt",7,2,4,4,1000,80,30,2,1125,20,98,10,9,10,10,10,10,"t","f","strict",4.32
620,260,"f",2,"t",-33.66219113,151.2985069,"House","Entire home/apt",8,2.5,4,4,1000,250,0,4,1125,0,,,,,,,,"f","f","moderate",
621,98,"f",1,"f",-33.71836669,151.2974513,"Apartment","Entire home/apt",3,1,1,1,,75,15,2,15,13,92,9,9,10,10,10,9,"t","f","moderate",0.35
622,75,"f",2,"f",-33.78526798,151.2871388,"Apartment","Private room",2,1,1,1,,,50,1,1125,66,88,9,9,9,9,10,9,"f","f","moderate",3.15
623,200,"f",1,"f",-33.78395363,151.2705986,"Apartment","Entire home/apt",2,1,1,1,300,89,0,1,1125,0,,,,,,,,"f","f","flexible",
624,185,"f",1,"t",-33.79030772,151.278775,"Villa","Private room",3,2.5,1,2,,50,25,2,30,54,94,9,10,10,10,9,9,"f","f","flexible",0.69
625,224,"f",1,"t",-33.7826005,151.286668,"Apartment","Entire home/apt",4,1.5,2,2,600,100,0,7,24,1,80,10,8,10,10,10,10,"f","f","strict",0.04
626,200,"f",1,"f",-33.67814894,151.3088527,"Villa","Private room",2,1,1,1,,,0,1,5,1,80,8,6,10,8,8,6,"f","f","moderate",1
627,401,"f",1,"t",-33.65396722,151.3135545,"House","Entire home/apt",5,2.5,3,4,500,236,0,3,1125,6,92,9,8,10,10,9,9,"t","f","flexible",0.47
628,350,"f",1,"f",-33.74310989,151.2893454,"House","Entire home/apt",11,3,5,7,500,200,0,2,1125,2,90,10,9,10,10,10,10,"f","f","strict",2
629,115,"f",1,"t",-33.79913569,151.261643,"Apartment","Entire home/apt",3,1,1,2,,,0,3,30,16,91,9,10,10,10,10,10,"f","f","moderate",0.76
630,250,"f",3,"f",-33.70438612,151.2935501,"Vacation home","Entire home/apt",4,1,2,2,500,150,20,5,200,0,,,,,,,,"f","f","moderate",
631,160,"t",1,"t",-33.70482252,151.3003826,"House","Entire home/apt",3,1,1,2,500,90,45,1,62,82,99,10,10,10,10,10,10,"t","t","moderate",3.32
632,68,"f",1,"f",-33.75458855,151.2936837,"Apartment","Private room",2,1,1,1,,35,0,1,1125,6,83,7,9,10,10,10,10,"f","f","flexible",1.68
633,60,"f",1,"t",-33.74207814,151.2068276,"House","Private room",2,1,1,1,,,0,2,3,0,,,,,,,,"f","f","flexible",
634,300,"f",198,"f",-33.7760321,151.2716325,"House","Entire home/apt",6,2,4,4,400,390,0,3,1125,0,,,,,,,,"t","f","strict",
635,245,"f",7,"t",-33.80200043,151.2930415,"Apartment","Entire home/apt",4,1,1,2,200,50,20,1,1125,4,70,8,10,10,10,10,7,"t","f","strict",0.6
636,120,"t",1,"f",-33.80286854,151.2874672,"Apartment","Entire home/apt",2,1,0,1,300,85,0,2,21,23,99,10,10,10,10,10,10,"t","f","strict",3.94
637,65,"f",1,"f",-33.7983279,151.274109,"Apartment","Private room",2,1,1,1,,,0,3,9,0,,,,,,,,"t","f","flexible",
638,250,"t",2,"t",-33.79225656,151.2876892,"Apartment","Entire home/apt",3,1,1,1,1000,80,30,5,1125,5,100,10,10,10,10,10,10,"f","f","strict",0.4
639,165,"f",1,"f",-33.79566482,151.2771926,"House","Entire home/apt",3,1.5,2,2,,160,0,14,30,1,100,8,10,10,10,10,10,"f","f","strict",0.03
640,199,"f",1,"f",-33.63696019,151.3293583,"Apartment","Entire home/apt",4,1,2,2,,150,0,2,28,22,91,10,9,10,10,10,10,"f","f","strict",2.54
641,180,"f",1,"f",-33.75229876,151.2893867,"Apartment","Entire home/apt",2,1,1,1,150,50,0,4,41,11,91,10,9,10,10,10,9,"t","f","moderate",0.4
642,399,"f",2,"t",-33.8021608,151.2894292,"Apartment","Entire home/apt",5,2,3,3,1000,100,0,4,30,5,96,10,10,10,10,10,9,"f","f","strict",0.19
643,350,"f",1,"f",-33.72788673,151.214215,"House","Entire home/apt",6,2,3,3,,,0,16,21,0,,,,,,,,"t","f","moderate",
644,224,"f",3,"f",-33.64110232,151.3104779,"House","Entire home/apt",4,2.5,2,3,500,159,0,2,1125,18,95,10,9,10,10,10,10,"t","f","moderate",0.78
645,75,"f",1,"f",-33.78779647,151.2851645,"Apartment","Private room",2,1,1,1,,,0,2,1125,0,,,,,,,,"t","f","flexible",
646,248,"t",1,"f",-33.67518133,151.3156486,"Apartment","Entire home/apt",4,1,2,3,500,120,0,2,1125,13,98,10,10,10,10,10,10,"t","t","strict",5
647,250,"f",1,"t",-33.7092027,151.3034406,"Apartment","Entire home/apt",6,1,2,4,300,90,25,2,90,67,94,10,9,10,10,10,9,"f","f","moderate",2.8
648,295,"f",18,"f",-33.60219752,151.3208559,"Apartment","Entire home/apt",40,1,2,2,1000,110,0,2,90,1,100,10,10,10,10,10,10,"t","f","strict",0.3
649,401,"f",40,"f",-33.61714111,151.2072417,"House","Entire home/apt",10,2,4,6,1000,250,100,2,1125,0,,,,,,,,"t","f","strict",
650,55,"f",1,"f",-33.74584696,151.2902326,"Apartment","Private room",2,1,1,1,150,,30,2,52,15,92,10,9,10,10,10,10,"f","f","flexible",0.63
651,121,"f",1,"f",-33.77544943,151.2762816,"Apartment","Entire home/apt",3,1,2,2,,,0,10,19,0,,,,,,,,"t","f","flexible",
652,145,"f",1,"f",-33.80358146,151.2846649,"Apartment","Entire home/apt",4,1,2,2,,,0,2,1125,2,60,6,8,8,10,10,8,"f","f","moderate",0.54
653,150,"t",1,"f",-33.79999818,151.2849868,"Apartment","Entire home/apt",2,1,1,1,,85,0,3,1125,55,93,10,9,10,10,10,10,"f","f","moderate",2.5
654,150,"t",4,"t",-33.63778621,151.27977,"Guesthouse","Entire home/apt",4,1,2,3,500,64,0,3,1125,0,,,,,,,,"f","f","flexible",
655,49,"f",1,"f",-33.75705406,151.293613,"Apartment","Private room",2,1,1,1,,22,0,4,10,0,,,,,,,,"t","f","flexible",
656,190,"f",1,"t",-33.79586851,151.2620476,"House","Entire home/apt",6,1.5,3,3,,160,50,3,7,0,,,,,,,,"f","f","strict",
657,150,"f",1,"t",-33.62120124,151.3206823,"Guest suite","Private room",2,1,1,1,0,50,50,2,1126,2,100,10,10,10,10,10,10,"t","f","flexible",0.5
658,100,"f",2,"t",-33.75572992,151.2846735,"Apartment","Entire home/apt",2,1,1,1,,,0,7,14,0,,,,,,,,"f","f","strict",
659,55,"f",2,"t",-33.75423743,151.2805542,"House","Private room",2,1,1,1,,15,0,2,30,25,94,10,9,10,10,10,10,"f","f","moderate",0.77
660,120,"f",1,"t",-33.70550642,151.2879382,"House","Entire home/apt",5,1,2,3,800,50,0,5,60,3,100,8,10,10,10,10,9,"f","f","moderate",0.08
661,126,"f",1,"f",-33.79645229,151.2815579,"Apartment","Entire home/apt",4,1,2,2,,75,0,2,1125,3,87,9,9,10,10,9,9,"t","f","flexible",0.17
662,60,"f",1,"f",-33.75427971,151.2954463,"Apartment","Private room",1,1,1,1,0,0,60,1,30,8,94,10,10,10,10,10,10,"t","f","flexible",1.35
663,420,"t",8,"f",-33.60374098,151.3205056,"House","Entire home/apt",6,1,3,3,1500,250,0,2,1125,3,100,10,10,10,10,10,10,"f","f","strict",3
664,129,"f",1,"t",-33.75675216,151.2694789,"Apartment","Entire home/apt",4,2,3,3,500,,0,3,1125,2,100,10,10,10,10,10,10,"t","f","flexible",0.2
665,350,"f",198,"f",-33.80286173,151.2895777,"House","Entire home/apt",6,2,3,3,400,330,0,3,1125,4,70,9,8,10,9,10,7,"t","f","strict",2.03
666,185,"f",2,"t",-33.75689919,151.2863275,"Apartment","Entire home/apt",4,2,2,2,750,50,30,1,90,0,,,,,,,,"f","f","moderate",
667,201,"t",2,"t",-33.71399118,151.3002104,"Apartment","Entire home/apt",4,1.5,2,3,300,80,0,2,14,4,100,10,10,10,10,10,10,"t","f","strict",0.32
668,95,"f",1,"t",-33.78560289,151.2830545,"Apartment","Private room",2,1,1,1,,,0,1,14,0,,,,,,,,"t","f","moderate",
669,131,"t",1,"t",-33.78767858,151.2852542,"Apartment","Entire home/apt",2,1,1,0,0,20,0,2,1125,22,96,10,10,10,10,10,10,"t","f","moderate",5.59
670,200,"f",1,"f",-33.78633324,151.2683802,"Apartment","Entire home/apt",5,1,3,5,,20,0,1,31,3,80,9,9,10,10,10,6,"t","f","moderate",0.56
671,165,"f",1,"t",-33.80210462,151.2885829,"Apartment","Entire home/apt",5,1,3,5,4000,100,0,182,210,1,100,10,10,10,10,10,10,"f","f","strict",0.04
672,425,"f",1,"f",-33.80087266,151.2603953,"House","Entire home/apt",6,3.5,4,4,,,0,7,1125,0,,,,,,,,"f","f","flexible",
673,41,"f",1,"f",-33.75395668,151.2925528,"Apartment","Private room",1,1,1,1,200,,0,5,10,3,,,,,,,,"f","f","flexible",
674,319,"f",1,"f",-33.74989177,151.2711953,"House","Entire home/apt",6,2,3,4,0,150,0,5,30,0,,,,,,,,"f","f","flexible",
675,139,"f",1,"f",-33.75318158,151.2875517,"Apartment","Entire home/apt",2,2,2,1,,,0,5,12,1,100,10,10,10,10,10,10,"f","f","flexible",0.04
676,300,"f",1,"f",-33.80582462,151.2889173,"House","Shared room",2,1,1,1,,,0,1,1125,0,,,,,,,,"f","f","flexible",
677,245,"t",2,"t",-33.74728262,151.2871675,"Apartment","Entire home/apt",6,1,2,3,150,60,40,1,1125,29,97,10,10,10,10,9,9,"f","f","strict",1.17
678,375,"f",1,"f",-33.65793806,151.3198189,"House","Entire home/apt",5,1.5,3,3,750,,0,5,14,0,,,,,,,,"t","f","strict",
679,65,"f",1,"t",-33.80499998,151.2848475,"Apartment","Private room",2,1,1,1,,30,15,3,1125,4,100,10,10,10,10,10,10,"f","f","moderate",0.53
680,123,"f",1,"t",-33.69770309,151.3072053,"Guesthouse","Entire home/apt",3,1,0,2,250,80,25,2,1125,0,,,,,,,,"t","f","flexible",
681,55,"f",1,"f",-33.78546667,151.2753193,"Apartment","Private room",1,1,1,1,150,,15,1,1125,1,100,10,10,10,10,10,10,"f","f","flexible",0.53
682,350,"f",1,"f",-33.7769666,151.2808179,"House","Entire home/apt",7,2,4,5,2000,150,0,3,30,0,,,,,,,,"f","f","flexible",
683,70,"f",1,"f",-33.78155936,151.2847659,"Apartment","Private room",1,1,1,1,,,0,9,1125,0,,,,,,,,"f","f","flexible",
684,63,"f",1,"t",-33.75047095,151.2880398,"Apartment","Private room",2,1,1,1,,25,0,2,1125,7,100,10,10,10,10,10,10,"f","f","moderate",0.49
685,156,"f",1,"t",-33.79951817,151.2873236,"Apartment","Private room",2,1,1,1,,,0,7,40,8,97,10,9,10,10,10,9,"f","f","strict",0.83
686,250,"f",1,"t",-33.75479022,151.2937011,"Apartment","Entire home/apt",4,1,2,2,150,100,0,2,1125,5,88,9,10,10,10,10,9,"f","f","moderate",0.41
687,51,"f",2,"f",-33.77418473,151.2694158,"Cabin","Private room",2,1,1,1,,19,0,1,14,22,90,9,9,10,10,9,10,"t","f","moderate",2.33
688,180,"f",1,"f",-33.77114648,151.2921562,"Apartment","Entire home/apt",4,1,2,2,,,0,5,7,0,,,,,,,,"f","f","strict",
689,100,"f",3,"f",-33.75408746,151.2935438,"Apartment","Private room",2,1,1,1,,40,0,8,1125,0,,,,,,,,"f","f","moderate",
690,396,"f",18,"f",-33.60169446,151.3228845,"Apartment","Entire home/apt",6,1.5,2,4,1000,150,0,2,90,0,,,,,,,,"t","f","strict",
691,240,"f",1,"t",-33.80077271,151.2883605,"Apartment","Entire home/apt",2,1,1,1,180,50,0,2,52,8,90,10,9,10,10,10,9,"f","f","moderate",0.23
692,160,"f",1,"t",-33.79618902,151.2757047,"Apartment","Entire home/apt",4,1,2,2,500,50,0,3,18,4,100,10,10,10,10,10,10,"t","f","flexible",0.11
693,70,"f",1,"f",-33.75211576,151.2898417,"Apartment","Private room",2,1,1,1,,,0,5,24,2,100,9,8,7,7,9,10,"f","f","flexible",0.09
694,150,"f",1,"f",-33.78645777,151.2529718,"House","Entire home/apt",4,1,2,3,0,75,50,7,18,1,100,10,10,10,10,10,10,"f","f","strict",0.11
