id,lat,lon,detail,suburb,postcode
0,-33.79109592,151.2875061,,MANLY,2095
1,-33.80795853,151.2827409,,MANLY,2095
2,-33.7408621,151.2813856,,CROMER,2099
3,-33.787578100000005,151.2839821,,MANLY,2095
4,-33.75444708,151.2671746,,BEACON HILL,2100
5,-33.79238677,151.2839332,,MANLY,2095
6,-33.68330174,151.2229321,,TERREY HILLS,2084
7,-33.60074134,151.3214289,,PALM BEACH,2108
8,-33.79216674,151.2809351,,FAIRLIGHT,2094
9,-33.75260707,151.29108200000002,,DEE WHY,2099
10,-33.79132503,151.2773678,,FAIRLIGHT,2094
11,-33.77889946,151.289828,,FRESHWATER,2096
12,-33.77366776,151.2924048,,CURL CURL,2096
13,-33.7555362,151.2923932,,DEE WHY,2099
14,-33.78173347,151.2886902,,FRESHWATER,2096
15,-33.75138883,151.2936757,,DEE WHY,2099
16,-33.78573879,151.28763899999998,,MANLY,2095
17,-33.79926470000001,151.2808646,,MANLY,2095
18,-33.77136483,151.2861913,,FRESHWATER,2096
19,-33.78795262,151.28568810000002,,MANLY,2095
20,-33.77982907,151.2867256,,FRESHWATER,2096
21,-33.781138500000004,151.2866003,,QUEENSCLIFF,2096
22,-33.67357047,151.29767180000002,,MONA VALE,2103
23,-33.72424756,151.301118,,NARRABEEN,2101
24,-33.78301843,151.2825696,,QUEENSCLIFF,2096
25,-33.79135728,151.28649019999997,,MANLY,2095
26,-33.73055182,151.29802890000002,,COLLAROY,2097
27,-33.79705157,151.2888488,,MANLY,2095
28,-33.79604823,151.2618215,,BALGOWLAH,2093
29,-33.7955131,151.28686299999998,,MANLY,2095
30,-33.75511663,151.28664650000002,,DEE WHY,2099
31,-33.80149011,151.29402380000002,,MANLY,2095
32,-33.75665923,151.2938562,,DEE WHY,2099
33,-33.78576615,151.286779,,MANLY,2095
34,-33.76358346,151.2894373,,NORTH CURL CURL,2099
35,-33.79772764,151.28426140000002,,MANLY,2095
36,-33.80178148,151.2916406,,MANLY,2095
37,-33.76777163,151.27498530000003,,NORTH MANLY,2100
38,-33.60365843,151.32371830000002,,PALM BEACH,2108
39,-33.73375445,151.2237816,,BELROSE,2085
40,-33.75685548,151.2951866,,DEE WHY,2099
41,-33.80438583,151.2863496,,MANLY,2095
42,-33.62905053,151.33064240000002,,AVALON BEACH,2107
43,-33.7979596,151.2894726,,MANLY,2095
44,-33.74272488,151.2907241,,DEE WHY,2099
45,-33.6312304,151.31800269999997,,AVALON BEACH,2107
46,-33.76867621,151.29165769999997,,CURL CURL,2096
47,-33.74839461,151.2838356,,DEE WHY,2099
48,-33.63210322,151.32353840000002,,AVALON BEACH,2107
49,-33.7957467,151.275354,,FAIRLIGHT,2094
50,-33.79673622,151.2868566,,MANLY,2095
51,-33.6640986,151.3241286,,NEWPORT,2106
52,-33.79590311,151.2559915,,BALGOWLAH,2093
53,-33.79639551,151.28410569999997,,MANLY,2095
54,-33.75109498,151.28877749999998,,DEE WHY,2099
55,-33.69831348,151.3028869,,NORTH NARRABEEN,2101
56,-33.79533674,151.2597359,,BALGOWLAH,2093
57,-33.7511304,151.2131503,,FORESTVILLE,2087
58,-33.72059817,151.30010009999998,,NARRABEEN,2101
59,-33.78806132,151.283547,,MANLY,2095
60,-33.80344537,151.28738669999998,,MANLY,2095
61,-33.76407126,151.29854640000002,,NORTH CURL CURL,2099
62,-33.75557046,151.2253914,,FRENCHS FOREST,2086
63,-33.78189764,151.28775890000003,,FRESHWATER,2096
64,-33.68043391,151.29815980000004,,MONA VALE,2103
65,-33.80467002,151.2907495,,MANLY,2095
66,-33.79475459,151.2862598,,MANLY,2095
67,-33.78139813,151.2864289,,QUEENSCLIFF,2096
68,-33.79975341,151.2737024,,FAIRLIGHT,2094
69,-33.79922898,151.28473390000002,,MANLY,2095
70,-33.77797005,151.2753503,,NORTH MANLY,2100
71,-33.70591382,151.30088080000002,,NARRABEEN,2101
72,-33.64802595,151.31359469999998,,BILGOLA PLATEAU,2107
73,-33.75290928,151.29543769999998,,DEE WHY,2099
74,-33.64519339,151.3093584,,BILGOLA PLATEAU,2107
75,-33.7899469,151.28085780000004,,MANLY,2095
76,-33.7953274,151.2866353,,MANLY,2095
77,-33.78907166,151.2838514,,MANLY,2095
78,-33.79748381,151.2844129,,MANLY,2095
79,-33.7694648,151.2570455,,ALLAMBIE HEIGHTS,2100
80,-33.79744592,151.2858185,,MANLY,2095
81,-33.77174311,151.2649284,,ALLAMBIE HEIGHTS,2100
82,-33.71584175,151.3001765,,NARRABEEN,2101
83,-33.80373582,151.29237849999998,,MANLY,2095
84,-33.75601358,151.2935466,,DEE WHY,2099
85,-33.79105694,151.2791169,,MANLY,2095
86,-33.73084024,151.2747642,,CROMER,2099
87,-33.74864216,151.271611,,NARRAWEENA,2099
88,-33.71285056,151.3005685,,NARRABEEN,2101
89,-33.79730072,151.2864612,,MANLY,2095
90,-33.802758700000005,151.28720090000002,,MANLY,2095
91,-33.79019782,151.285347,,MANLY,2095
92,-33.78221324,151.2696344,,MANLY VALE,2093
93,-33.80379465,151.2904823,,MANLY,2095
94,-33.74473163,151.2292055,,FRENCHS FOREST,2086
95,-33.80443044,151.2846812,,MANLY,2095
96,-33.63627402,151.33019290000001,,AVALON BEACH,2107
97,-33.62512507,151.33661719999998,,AVALON BEACH,2107
98,-33.79722368,151.28328100000002,,MANLY,2095
99,-33.62572782,151.3221436,,AVALON BEACH,2107
100,-33.77721904,151.2729103,,NORTH MANLY,2100
101,-33.71471834,151.2979201,,NARRABEEN,2101
102,-33.77550868,151.25510269999998,,ALLAMBIE HEIGHTS,2100
103,-33.78553436,151.273464,,MANLY VALE,2093
104,-33.72398921,151.29886100000002,,NARRABEEN,2101
105,-33.79475594,151.2546351,,BALGOWLAH,2093
106,-33.79100678,151.2852687,,MANLY,2095
107,-33.79499605,151.2710291,,FAIRLIGHT,2094
108,-33.79772042,151.26454840000002,,BALGOWLAH,2093
109,-33.74831472,151.289512,,DEE WHY,2099
110,-33.79142947,151.2865656,,MANLY,2095
111,-33.79874354,151.2806715,,MANLY,2095
112,-33.62816338,151.316787,,AVALON BEACH,2107
113,-33.62663732,151.3174612,,AVALON BEACH,2107
114,-33.69389192,151.3100121,,WARRIEWOOD,2102
115,-33.65365227,151.3202364,,NEWPORT,2106
116,-33.75733181,151.24683230000002,,ALLAMBIE HEIGHTS,2100
117,-33.7545521,151.2928625,,DEE WHY,2099
118,-33.79420439,151.2774552,,FAIRLIGHT,2094
119,-33.61741244,151.3337741,,WHALE BEACH,2107
120,-33.75487179,151.2918378,,DEE WHY,2099
121,-33.792624100000005,151.2587613,,BALGOWLAH,2093
122,-33.67939212,151.3004611,,MONA VALE,2103
123,-33.7962232,151.28723090000003,,MANLY,2095
124,-33.77760015,151.2856939,,FRESHWATER,2096
125,-33.79770409,151.28093049999998,,MANLY,2095
126,-33.780396200000006,151.285279,,QUEENSCLIFF,2096
127,-33.74907617,151.2450015,,FRENCHS FOREST,2086
128,-33.78116752,151.27824819999998,,NORTH MANLY,2100
129,-33.75071598,151.25404699999999,,BEACON HILL,2100
130,-33.79474158,151.2834699,,MANLY,2095
131,-33.61230383,151.32725680000001,,PALM BEACH,2108
132,-33.77692767,151.2850644,,FRESHWATER,2096
133,-33.79552863,151.2787068,,FAIRLIGHT,2094
134,-33.72638575,151.2223852,,BELROSE,2085
135,-33.79711415,151.2798659,,MANLY,2095
136,-33.75474349,151.27437369999998,,NARRAWEENA,2099
137,-33.75226288,151.2971595,,DEE WHY,2099
138,-33.65231416,151.3163485,,NEWPORT,2106
139,-33.78432706,151.2885096,,QUEENSCLIFF,2096
140,-33.78884875,151.2514512,,NORTH BALGOWLAH,2093
141,-33.77021878,151.2924858,,CURL CURL,2096
142,-33.77854446,151.2828925,,FRESHWATER,2096
143,-33.71746952,151.29710659999998,,NARRABEEN,2101
144,-33.78476047,151.2915555,,QUEENSCLIFF,2096
145,-33.80063486,151.2860513,,MANLY,2095
146,-33.79498975,151.2854341,,MANLY,2095
147,-33.76508146,151.2963169,,NORTH CURL CURL,2099
148,-33.79850023,151.28119980000002,,MANLY,2095
149,-33.794963700000004,151.2825902,,MANLY,2095
150,-33.79691118,151.27141880000002,,FAIRLIGHT,2094
151,-33.62637328,151.31913290000003,,AVALON BEACH,2107
152,-33.75073777,151.29330269999997,,DEE WHY,2099
153,-33.78790646,151.2868747,,MANLY,2095
154,-33.79084443,151.2854094,,MANLY,2095
155,-33.75343136,151.2190389,,FORESTVILLE,2087
156,-33.70637237,151.2864065,,NORTH NARRABEEN,2101
157,-33.80162891,151.2882309,,MANLY,2095
158,-33.60159545,151.3225392,,PALM BEACH,2108
159,-33.73362478,151.30037140000002,,COLLAROY,2097
160,-33.79712304,151.2856085,,MANLY,2095
161,-33.79270559,151.28585139999998,,MANLY,2095
162,-33.79597852,151.2851517,,MANLY,2095
163,-33.62513265,151.32275149999998,,AVALON BEACH,2107
164,-33.75448349,151.291968,,DEE WHY,2099
165,-33.80378055,151.2878362,,MANLY,2095
166,-33.78792984,151.2819789,,MANLY,2095
167,-33.7824339,151.2860816,,QUEENSCLIFF,2096
168,-33.75593555,151.29091530000002,,DEE WHY,2099
169,-33.79697986,151.2846125,,MANLY,2095
170,-33.77851107,151.2862829,,FRESHWATER,2096
171,-33.76328151,151.282976,,NORTH CURL CURL,2099
172,-33.63700858,151.33031019999999,,AVALON BEACH,2107
173,-33.75414512,151.2930986,,DEE WHY,2099
174,-33.790099600000005,151.28800780000003,,MANLY,2095
175,-33.79586039,151.28084040000002,,MANLY,2095
176,-33.79589932,151.2706185,,FAIRLIGHT,2094
177,-33.74986401,151.2876364,,DEE WHY,2099
178,-33.72640167,151.2984426,,COLLAROY,2097
179,-33.77408539,151.2825009,,FRESHWATER,2096
180,-33.71016615,151.30205869999998,,NARRABEEN,2101
181,-33.79405362,151.2509833,,SEAFORTH,2092
182,-33.63072842,151.3322899,,AVALON BEACH,2107
183,-33.65722935,151.3127109,,NEWPORT,2106
184,-33.78220583,151.276846,,NORTH MANLY,2100
185,-33.64903241,151.30354590000002,,NEWPORT,2106
186,-33.7536791,151.29522580000003,,DEE WHY,2099
187,-33.78306369,151.28775269999997,,QUEENSCLIFF,2096
188,-33.79484571,151.28255369999997,,MANLY,2095
189,-33.65997248,151.3112424,,NEWPORT,2106
190,-33.70418125,151.2940357,,NORTH NARRABEEN,2101
191,-33.773758799999996,151.28012859999998,,FRESHWATER,2096
192,-33.63781138,151.2926459,,SCOTLAND ISLAND,2105
193,-33.76268736,151.2657003,,BROOKVALE,2100
194,-33.77396415,151.29043969999998,,FRESHWATER,2096
195,-33.789600899999996,151.28347769999996,,MANLY,2095
196,-33.78797319,151.24867700000001,,NORTH BALGOWLAH,2093
197,-33.69145297,151.30821699999998,,WARRIEWOOD,2102
198,-33.80359011,151.28907859999998,,MANLY,2095
199,-33.73946926,151.29738590000002,,COLLAROY,2097
200,-33.80582418,151.2853714,,MANLY,2095
201,-33.78494292,151.26698280000002,,MANLY VALE,2093
202,-33.79702987,151.2865138,,MANLY,2095
203,-33.74682783,151.2492875,,BEACON HILL,2100
204,-33.77316907,151.2887325,,FRESHWATER,2096
205,-33.76475737,151.2480612,,ALLAMBIE HEIGHTS,2100
206,-33.79533153,151.2873396,,MANLY,2095
207,-33.71296972,151.3003615,,NARRABEEN,2101
208,-33.78465742,151.2734926,,MANLY VALE,2093
209,-33.72598159,151.29911130000002,,COLLAROY,2097
210,-33.75119168,151.26993290000001,,NARRAWEENA,2099
211,-33.77713277,151.2847062,,FRESHWATER,2096
212,-33.65411636,151.3155917,,NEWPORT,2106
213,-33.76864114,151.26166980000002,,BROOKVALE,2100
214,-33.74697093,151.27712649999998,,NARRAWEENA,2099
215,-33.77652085,151.2795561,,FRESHWATER,2096
216,-33.77975215,151.2819795,,FRESHWATER,2096
217,-33.79437123,151.2858904,,MANLY,2095
218,-33.79125332,151.2854111,,MANLY,2095
219,-33.78147592,151.28486709999999,,QUEENSCLIFF,2096
220,-33.77364602,151.286677,,FRESHWATER,2096
221,-33.78802209,151.25123530000002,,NORTH BALGOWLAH,2093
222,-33.74535081,151.2882491,,DEE WHY,2099
223,-33.72064153,151.2879577,,NARRABEEN,2101
224,-33.79442751,151.26470669999998,,BALGOWLAH,2093
225,-33.77090798,151.27913700000002,,FRESHWATER,2096
226,-33.67755673,151.2960758,,MONA VALE,2103
227,-33.79757581,151.2866358,,MANLY,2095
228,-33.79124954,151.2862996,,MANLY,2095
229,-33.80053578,151.28778799999998,,MANLY,2095
230,-33.69326495,151.31028759999998,,WARRIEWOOD,2102
231,-33.8030216,151.2416523,,SEAFORTH,2092
232,-33.78683498,151.28613719999998,,MANLY,2095
233,-33.78287778,151.28329490000002,,QUEENSCLIFF,2096
234,-33.75492085,151.2929105,,DEE WHY,2099
235,-33.75767351,151.287282,,DEE WHY,2099
236,-33.63071516,151.32689950000002,,AVALON BEACH,2107
237,-33.79402834,151.2576004,,BALGOWLAH,2093
238,-33.78321698,151.2871504,,QUEENSCLIFF,2096
239,-33.78590741,151.24437,,NORTH BALGOWLAH,2093
240,-33.78402823,151.2510357,,NORTH BALGOWLAH,2093
241,-33.642590399999996,151.32264819999997,,AVALON BEACH,2107
242,-33.80374583,151.2902011,,MANLY,2095
243,-33.79519373,151.2482913,,SEAFORTH,2092
244,-33.75581705,151.2933747,,DEE WHY,2099
245,-33.80956747,151.25619509999999,,CLONTARF,2093
246,-33.72945481,151.2980008,,COLLAROY,2097
247,-33.80623577,151.2847284,,MANLY,2095
248,-33.79749132,151.28741069999998,,MANLY,2095
249,-33.79373944,151.26146599999998,,BALGOWLAH,2093
250,-33.77952595,151.28603280000002,,FRESHWATER,2096
251,-33.801702399999996,151.2642959,,BALGOWLAH HEIGHTS,2093
252,-33.79306094,151.2853976,,MANLY,2095
253,-33.79249814,151.2640937,,BALGOWLAH,2093
254,-33.7904556,151.2831111,,MANLY,2095
255,-33.75334632,151.2935777,,DEE WHY,2099
256,-33.7501157,151.26304430000002,,BEACON HILL,2100
257,-33.79078484,151.2876879,,MANLY,2095
258,-33.79585552,151.27277869999998,,FAIRLIGHT,2094
259,-33.78036191,151.2814351,,QUEENSCLIFF,2096
260,-33.75768967,151.280392,,DEE WHY,2099
261,-33.60294444,151.3257073,,PALM BEACH,2108
262,-33.79134455,151.28673930000002,,MANLY,2095
263,-33.76794927,151.2845445,,CURL CURL,2096
264,-33.79628412,151.2735533,,FAIRLIGHT,2094
265,-33.80005933,151.28804680000002,,MANLY,2095
266,-33.8028412,151.25052759999997,,CLONTARF,2093
267,-33.79921419,151.2714834,,FAIRLIGHT,2094
268,-33.78147909,151.2806176,,QUEENSCLIFF,2096
269,-33.76303267,151.2831831,,NORTH CURL CURL,2099
270,-33.75874712,151.2479039,,ALLAMBIE HEIGHTS,2100
271,-33.62780894,151.3190553,,AVALON BEACH,2107
272,-33.63731863,151.31343600000002,,AVALON BEACH,2107
273,-33.78652251,151.2652842,,MANLY VALE,2093
274,-33.80013677,151.2854063,,MANLY,2095
275,-33.80585063,151.28491359999998,,MANLY,2095
276,-33.79720771,151.2795269,,MANLY,2095
277,-33.78101615,151.2840725,,QUEENSCLIFF,2096
278,-33.74659856,151.2872944,,DEE WHY,2099
279,-33.68892576,151.291027,,WARRIEWOOD,2102
280,-33.64927163,151.306365,,NEWPORT,2106
281,-33.77241904,151.28094209999998,,FRESHWATER,2096
282,-33.78288870000001,151.2714416,,MANLY VALE,2093
283,-33.75859678,151.2987522,,DEE WHY,2099
284,-33.73649153,151.2950044,,COLLAROY,2097
285,-33.64345218,151.3282189,,BILGOLA BEACH,2107
286,-33.60671262,151.3293534,,PALM BEACH,2108
287,-33.768179700000005,151.2859471,,CURL CURL,2096
288,-33.62958485,151.3182183,,AVALON BEACH,2107
289,-33.80767512,151.28350369999998,,MANLY,2095
290,-33.77930896,151.28284580000002,,FRESHWATER,2096
291,-33.79522069,151.2826916,,MANLY,2095
292,-33.80540202,151.2861831,,MANLY,2095
293,-33.79332434,151.28296730000002,,MANLY,2095
294,-33.78656324,151.2859267,,MANLY,2095
295,-33.75661589,151.2907304,,DEE WHY,2099
296,-33.7591488,151.2668889,,BEACON HILL,2100
297,-33.795775799999994,151.2771309,,FAIRLIGHT,2094
298,-33.78155986,151.2771648,,NORTH MANLY,2100
299,-33.77896898,151.2796367,,FRESHWATER,2096
300,-33.79716068,151.2862488,,MANLY,2095
301,-33.7556708,151.28640769999998,,DEE WHY,2099
302,-33.78923902,151.28704380000002,,MANLY,2095
303,-33.79327697,151.27696740000002,,FAIRLIGHT,2094
304,-33.79644229,151.250212,,SEAFORTH,2092
305,-33.77622313,151.2909116,,FRESHWATER,2096
306,-33.65007866,151.32099219999998,,NEWPORT,2106
307,-33.79844834,151.2599121,,BALGOWLAH,2093
308,-33.78384717,151.26606769999998,,MANLY VALE,2093
309,-33.79334589,151.28145859999998,,MANLY,2095
310,-33.80541206,151.2861004,,MANLY,2095
311,-33.65286042,151.31882980000003,,NEWPORT,2106
312,-33.7803284,151.28381240000002,,QUEENSCLIFF,2096
313,-33.79653959,151.2865253,,MANLY,2095
314,-33.76907391,151.2741497,,NORTH MANLY,2100
315,-33.72482,151.21922980000002,,BELROSE,2085
316,-33.76838343,151.29466200000002,,CURL CURL,2096
317,-33.79911173,151.2795601,,MANLY,2095
318,-33.74507106,151.2796696,,NARRAWEENA,2099
319,-33.67604002,151.3134719,,MONA VALE,2103
320,-33.60908705,151.3249935,,PALM BEACH,2108
321,-33.79366515,151.2617178,,BALGOWLAH,2093
322,-33.80183054,151.2864275,,MANLY,2095
323,-33.75518729,151.28892549999998,,DEE WHY,2099
324,-33.78278599,151.28712019999998,,QUEENSCLIFF,2096
325,-33.62546571,151.3328418,,AVALON BEACH,2107
326,-33.7956866,151.2785592,,FAIRLIGHT,2094
327,-33.80571988,151.28408249999998,,MANLY,2095
328,-33.79808119,151.2879819,,MANLY,2095
329,-33.79782243,151.2862084,,MANLY,2095
330,-33.77018396,151.2942983,,CURL CURL,2096
331,-33.79082997,151.2791089,,MANLY,2095
332,-33.795260600000006,151.2862384,,MANLY,2095
333,-33.77476663,151.28868480000003,,FRESHWATER,2096
334,-33.79799075,151.2709115,,FAIRLIGHT,2094
335,-33.67855611,151.2753695,,INGLESIDE,2101
336,-33.64839523,151.319743,,BILGOLA PLATEAU,2107
337,-33.69442351,151.27693349999998,,ELANORA HEIGHTS,2101
338,-33.67841388,151.3135488,,MONA VALE,2103
339,-33.77743144,151.27831559999998,,FRESHWATER,2096
340,-33.80250584,151.287398,,MANLY,2095
341,-33.75635889,151.28904619999997,,DEE WHY,2099
342,-33.7961546,151.2792861,,MANLY,2095
343,-33.80557798,151.2854389,,MANLY,2095
344,-33.79383156,151.26222380000002,,BALGOWLAH,2093
345,-33.79434841,151.276263,,FAIRLIGHT,2094
346,-33.67746001,151.3101825,,MONA VALE,2103
347,-33.75364082,151.2940715,,DEE WHY,2099
348,-33.80099687,151.2882679,,MANLY,2095
349,-33.79980158,151.2861821,,MANLY,2095
350,-33.79756049,151.2871858,,MANLY,2095
351,-33.72256716,151.2991514,,NARRABEEN,2101
352,-33.796885499999995,151.24161,,SEAFORTH,2092
353,-33.70250423,151.3027507,,NORTH NARRABEEN,2101
354,-33.79768605,151.26121809999998,,BALGOWLAH,2093
355,-33.69791518,151.2880011,,NORTH NARRABEEN,2101
356,-33.75829695,151.2757611,,BROOKVALE,2100
357,-33.80176741,151.29043969999998,,MANLY,2095
358,-33.58963709,151.29682759999997,,GREAT MACKEREL BEACH,2108
359,-33.79687189,151.287473,,MANLY,2095
360,-33.79569653,151.2831186,,MANLY,2095
361,-33.78169314,151.284018,,QUEENSCLIFF,2096
362,-33.75492673,151.2949411,,DEE WHY,2099
363,-33.78811303,151.2872499,,MANLY,2095
364,-33.65069968,151.3175378,,NEWPORT,2106
365,-33.75684341,151.2789387,,DEE WHY,2099
366,-33.75897311,151.29727140000003,,DEE WHY,2099
367,-33.78636057,151.28344730000003,,MANLY,2095
368,-33.72749723,151.2803379,,WHEELER HEIGHTS,2097
369,-33.79283044,151.2796825,,FAIRLIGHT,2094
370,-33.779355200000005,151.29122619999998,,FRESHWATER,2096
371,-33.79918229,151.2901929,,MANLY,2095
372,-33.80277007,151.2896255,,MANLY,2095
373,-33.65045617,151.31171830000002,,BILGOLA PLATEAU,2107
374,-33.68937003,151.293071,,WARRIEWOOD,2102
375,-33.78687911,151.29076840000002,,QUEENSCLIFF,2096
376,-33.79540949,151.2633172,,BALGOWLAH,2093
377,-33.75321552,151.2831653,,DEE WHY,2099
378,-33.79117257,151.28667219999997,,MANLY,2095
379,-33.80017275,151.286925,,MANLY,2095
380,-33.63290853,151.3290474,,AVALON BEACH,2107
381,-33.78192952,151.28174950000002,,QUEENSCLIFF,2096
382,-33.79742289,151.28704299999998,,MANLY,2095
383,-33.80199337,151.28826750000002,,MANLY,2095
384,-33.79775687,151.2791632,,MANLY,2095
385,-33.79774102,151.2634572,,BALGOWLAH,2093
386,-33.76138203,151.27201540000002,,BROOKVALE,2100
387,-33.79551695,151.2702899,,FAIRLIGHT,2094
388,-33.75455539,151.295287,,DEE WHY,2099
389,-33.79887753,151.2719775,,FAIRLIGHT,2094
390,-33.79634022,151.27229340000002,,FAIRLIGHT,2094
391,-33.59428672,151.3221828,,PALM BEACH,2108
392,-33.79602166,151.28671780000002,,MANLY,2095
393,-33.72891007,151.29920330000002,,COLLAROY,2097
394,-33.79322462,151.25959540000002,,BALGOWLAH,2093
395,-33.79172948,151.28487109999998,,MANLY,2095
396,-33.73912738,151.2908978,,COLLAROY,2097
397,-33.79956621,151.2800327,,MANLY,2095
398,-33.77262539,151.27920890000001,,FRESHWATER,2096
399,-33.60040315,151.3213059,,PALM BEACH,2108
400,-33.79226351,151.251575,,SEAFORTH,2092
401,-33.6987041,151.28384309999998,,ELANORA HEIGHTS,2101
402,-33.778961200000005,151.28099890000001,,FRESHWATER,2096
403,-33.76212128,151.3000626,,NORTH CURL CURL,2099
404,-33.79707573,151.2817201,,MANLY,2095
405,-33.79023823,151.2741941,,FAIRLIGHT,2094
406,-33.74125519,151.2796658,,CROMER,2099
407,-33.72793193,151.2996064,,COLLAROY,2097
408,-33.80165031,151.2876229,,MANLY,2095
409,-33.80395667,151.28993390000002,,MANLY,2095
410,-33.75649477,151.29686909999998,,DEE WHY,2099
411,-33.80462123,151.2849077,,MANLY,2095
412,-33.79788075,151.2629729,,BALGOWLAH,2093
413,-33.80283184,151.2863359,,MANLY,2095
414,-33.77456259,151.2666206,,NORTH MANLY,2100
415,-33.71072104,151.29997690000002,,NARRABEEN,2101
416,-33.79083721,151.2844772,,MANLY,2095
417,-33.68635209,151.3010952,,WARRIEWOOD,2102
418,-33.75310518,151.22882130000002,,FRENCHS FOREST,2086
419,-33.79330773,151.28235569999998,,MANLY,2095
420,-33.59028571,151.2973853,,GREAT MACKEREL BEACH,2108
421,-33.79755189,151.286343,,MANLY,2095
422,-33.68916986,151.29323469999997,,WARRIEWOOD,2102
423,-33.78801194,151.2859741,,MANLY,2095
424,-33.7984896,151.2853267,,MANLY,2095
425,-33.77578368,151.29148030000002,,FRESHWATER,2096
426,-33.78102338,151.2869754,,FRESHWATER,2096
427,-33.7467184,151.28871619999998,,DEE WHY,2099
428,-33.67974278,151.31110680000003,,MONA VALE,2103
429,-33.79740245,151.2813366,,MANLY,2095
430,-33.75506589,151.2604119,,BEACON HILL,2100
431,-33.79907656,151.28163940000002,,MANLY,2095
432,-33.79220338,151.2455313,,SEAFORTH,2092
433,-33.64319206,151.2915831,,SCOTLAND ISLAND,2105
434,-33.65130608,151.3134931,,BILGOLA PLATEAU,2107
435,-33.80054744,151.287787,,MANLY,2095
436,-33.78369623,151.28736750000002,,QUEENSCLIFF,2096
437,-33.77190364,151.277064,,FRESHWATER,2096
438,-33.79234422,151.28315800000001,,MANLY,2095
439,-33.79491413,151.2661927,,BALGOWLAH,2093
440,-33.75697457,151.2842782,,DEE WHY,2099
441,-33.79756527,151.2764092,,FAIRLIGHT,2094
442,-33.78562435,151.2821836,,MANLY,2095
443,-33.75103129,151.28113630000001,,DEE WHY,2099
444,-33.80131028,151.29267019999998,,MANLY,2095
445,-33.77651892,151.2791179,,FRESHWATER,2096
446,-33.80459823,151.2879175,,MANLY,2095
447,-33.67976404,151.3119936,,MONA VALE,2103
448,-33.741362,151.20561130000002,,FRENCHS FOREST,2086
449,-33.77859953,151.2791604,,FRESHWATER,2096
450,-33.79609172,151.28684330000002,,MANLY,2095
451,-33.79806561,151.2711199,,FAIRLIGHT,2094
452,-33.71775008,151.2951874,,NARRABEEN,2101
453,-33.79552758,151.28620980000002,,MANLY,2095
454,-33.78388651,151.28466740000002,,QUEENSCLIFF,2096
455,-33.72470327,151.2780925,,WHEELER HEIGHTS,2097
456,-33.68277346,151.28606509999997,,WARRIEWOOD,2102
457,-33.79693926,151.28280230000001,,MANLY,2095
458,-33.79656316,151.27691869999998,,FAIRLIGHT,2094
459,-33.79670619,151.2656488,,BALGOWLAH,2093
460,-33.79776457,151.27511289999998,,FAIRLIGHT,2094
461,-33.80255148,151.28658380000002,,MANLY,2095
462,-33.65774227,151.3188595,,NEWPORT,2106
463,-33.63090776,151.33549019999998,,AVALON BEACH,2107
464,-33.63407731,151.3210441,,AVALON BEACH,2107
465,-33.79761035,151.2765805,,FAIRLIGHT,2094
466,-33.76350352,151.2973115,,NORTH CURL CURL,2099
467,-33.78081069,151.2401675,,SEAFORTH,2092
468,-33.79669439,151.2838678,,MANLY,2095
469,-33.67193494,151.29664680000002,,MONA VALE,2103
470,-33.651556400000004,151.3164161,,NEWPORT,2106
471,-33.76250304,151.28882959999999,,NORTH CURL CURL,2099
472,-33.72283162,151.2992181,,NARRABEEN,2101
473,-33.80601936,151.2862687,,MANLY,2095
474,-33.78722063,151.2680586,,BALGOWLAH,2093
475,-33.79961511,151.2722445,,FAIRLIGHT,2094
476,-33.77846341,151.27690280000002,,FRESHWATER,2096
